Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
-0.1531,Tue Mar 20 17:20:02 +0000 2018,0.914,0.086,0.0,@CBSNews,"Beyond the Notre-Dame Cathedral's façade, the majestic medieval monument is falling apart -- and a foundation in Fr… https://t.co/pDuHBJNS0A",13
0.0,Tue Mar 20 17:15:00 +0000 2018,1.0,0.0,0.0,@CBSNews,WATCH LIVE: Officials in Austin hold briefing after blast at FedEx building near San Antonio; authorities are inves… https://t.co/08ocFLMEWP,14
-0.5574,Tue Mar 20 17:00:39 +0000 2018,0.841,0.159,0.0,@CBSNews,"The world's last male northern white rhino died. CBS News visited the conservancy where Sudan the rhino lived, and… https://t.co/9kVYnTxico",15
0.0,Tue Mar 20 16:56:17 +0000 2018,1.0,0.0,0.0,@CBSNews,MOMENTS AGO: Pres. Trump hosts working lunch with Saudi Arabia's Prince Mohammed bin Salman at White House… https://t.co/WfwTpb3c2m,16
-0.1027,Tue Mar 20 16:53:06 +0000 2018,0.945,0.055,0.0,@CBSNews,"Hard numbers:
?? 72: The average age of Arab heads of state is 72
?? 40: Over the past year and a half, 40 current… https://t.co/TY3titgZ3C",17
0.4404,Tue Mar 20 16:41:04 +0000 2018,0.873,0.0,0.127,@CBSNews,President Trump is welcoming the Saudi crown prince to the White House on Tuesday. Here’s what you need to know:… https://t.co/K6QbQVyzmP,18
0.0,Tue Mar 20 16:37:29 +0000 2018,1.0,0.0,0.0,@CBSNews,"""We will see what happens. The Iran deal is coming up. It is probably another month or so... But Iran has not been… https://t.co/GitLFRmeZF",19
0.2484,Tue Mar 20 16:35:47 +0000 2018,0.788,0.087,0.126,@CBSNews,"""We had a very good call and I suspect that we will probably be meeting in the not-too- distant future to discuss t… https://t.co/LFiqxI3s2d",20
0.0,Tue Mar 20 16:34:39 +0000 2018,1.0,0.0,0.0,@CBSNews,"WATCH: While meeting with Saudi Crown Prince, @POTUS says he spoke with Pres. Putin ""and congratulated him on his e… https://t.co/BftdlZvGqe",21
0.3612,Tue Mar 20 16:32:29 +0000 2018,0.894,0.0,0.106,@CBSNews,"""We all agree that all votes should have an audible paper trail. And in 2016, five states used only electronic mach… https://t.co/60tI9I3gye",22
0.5256,Tue Mar 20 16:31:26 +0000 2018,0.841,0.0,0.159,@CBSNews,.@SenatorBurr says the Senate Intel. Committee has concluded: “”We need to be more effective at deterring our adver… https://t.co/woPFEAKyab,23
-0.296,Tue Mar 20 16:29:00 +0000 2018,0.901,0.099,0.0,@CBSNews,"""There is no evidence that any vote was changed. Russia attempted to penetrate 21 states. We know they were success… https://t.co/F4l8tQdCnP",24
